Angular Position of Detector (degrees);Voltage From LDR Circuit (Volts);Standard Deviation of Voltage (Volts)
1.91E+02;6.29E+00;3.04E-03
1.91E+02;6.32E+00;3.45E-03
1.91E+02;6.36E+00;3.58E-03
1.91E+02;6.39E+00;2.72E-03
1.91E+02;6.41E+00;2.74E-03
1.91E+02;6.41E+00;2.68E-03
1.91E+02;6.41E+00;2.89E-03
1.90E+02;6.39E+00;2.69E-03
1.90E+02;6.41E+00;2.54E-03
1.90E+02;6.47E+00;2.32E-03
1.90E+02;6.52E+00;2.75E-03
1.90E+02;6.49E+00;3.09E-03
1.90E+02;6.57E+00;2.36E-03
1.90E+02;6.64E+00;3.51E-03
1.90E+02;6.59E+00;3.00E-03
1.89E+02;6.64E+00;3.54E-03
1.89E+02;6.77E+00;2.56E-03
1.89E+02;6.89E+00;2.88E-03
1.89E+02;7.00E+00;2.21E-03
1.89E+02;7.11E+00;2.54E-03
1.89E+02;7.20E+00;2.34E-03
1.89E+02;7.23E+00;2.42E-03
1.89E+02;7.26E+00;2.82E-03
1.89E+02;7.29E+00;2.57E-03
1.88E+02;7.28E+00;2.55E-03
1.88E+02;7.25E+00;2.83E-03
1.88E+02;7.29E+00;2.65E-03
1.88E+02;7.33E+00;2.65E-03
1.88E+02;7.35E+00;2.55E-03
1.88E+02;7.45E+00;2.15E-03
1.88E+02;7.56E+00;1.92E-03
1.88E+02;7.59E+00;2.21E-03
1.88E+02;7.63E+00;2.71E-03
1.87E+02;7.74E+00;2.49E-03
1.87E+02;7.80E+00;2.31E-03
1.87E+02;7.84E+00;2.03E-03
1.87E+02;7.89E+00;2.42E-03
1.87E+02;7.92E+00;2.49E-03
1.87E+02;7.85E+00;2.65E-03
1.87E+02;7.79E+00;2.74E-03
1.87E+02;7.76E+00;2.84E-03
1.87E+02;7.74E+00;2.64E-03
1.86E+02;7.79E+00;2.46E-03
1.86E+02;7.92E+00;2.25E-03
1.86E+02;8.00E+00;2.64E-03
1.86E+02;8.02E+00;2.43E-03
1.86E+02;8.15E+00;1.41E-03
1.86E+02;8.26E+00;2.61E-03
1.86E+02;8.22E+00;2.36E-03
1.86E+02;8.20E+00;3.01E-03
1.86E+02;8.23E+00;2.22E-03
1.85E+02;8.17E+00;2.64E-03
1.85E+02;8.14E+00;3.33E-03
1.85E+02;8.22E+00;2.64E-03
1.85E+02;8.27E+00;2.62E-03
1.85E+02;8.25E+00;2.54E-03
1.85E+02;8.37E+00;1.88E-03
1.85E+02;8.70E+00;2.52E-03
1.85E+02;9.03E+00;2.63E-03
1.85E+02;9.21E+00;2.55E-03
1.84E+02;9.27E+00;1.92E-03
1.84E+02;9.24E+00;2.26E-03
1.84E+02;9.09E+00;2.00E-03
1.84E+02;8.94E+00;2.45E-03
1.84E+02;8.91E+00;1.38E-03
1.84E+02;9.00E+00;1.11E-03
1.84E+02;9.11E+00;2.46E-03
1.84E+02;9.22E+00;2.38E-03
1.84E+02;9.35E+00;7.14E-04
1.83E+02;9.47E+00;5.07E-04
1.83E+02;9.56E+00;2.50E-03
1.83E+02;9.61E+00;1.30E-03
1.83E+02;9.64E+00;1.60E-03
1.83E+02;9.65E+00;7.14E-04
1.83E+02;9.65E+00;2.31E-03
1.83E+02;9.66E+00;5.07E-04
1.83E+02;9.69E+00;8.70E-04
1.83E+02;9.71E+00;2.21E-03
1.82E+02;9.73E+00;3.55E-15
1.82E+02;9.74E+00;1.78E-15
1.82E+02;9.74E+00;2.54E-03
1.82E+02;9.74E+00;2.48E-03
1.82E+02;9.74E+00;7.14E-04
1.82E+02;9.74E+00;2.29E-03
1.82E+02;9.74E+00;1.78E-15
1.82E+02;9.75E+00;2.38E-03
1.82E+02;9.75E+00;1.11E-03
1.81E+02;9.74E+00;1.78E-15
1.81E+02;9.74E+00;1.46E-03
1.81E+02;9.75E+00;1.11E-03
1.81E+02;9.74E+00;7.14E-04
1.81E+02;9.74E+00;1.72E-03
1.81E+02;9.75E+00;9.99E-04
1.81E+02;9.74E+00;7.14E-04
1.81E+02;9.74E+00;1.78E-15
1.81E+02;9.75E+00;2.24E-03
1.80E+02;9.74E+00;7.14E-04
1.80E+02;9.74E+00;1.78E-15
1.80E+02;9.75E+00;2.08E-03
1.80E+02;9.75E+00;2.40E-03
1.80E+02;9.74E+00;5.07E-04
1.80E+02;9.74E+00;2.36E-03
1.80E+02;9.75E+00;9.99E-04
1.80E+02;9.74E+00;7.14E-04
1.79E+02;9.74E+00;2.51E-03
1.79E+02;9.75E+00;5.07E-04
1.79E+02;9.74E+00;2.18E-03
1.79E+02;9.74E+00;7.14E-04
1.79E+02;9.75E+00;7.14E-04
1.79E+02;9.75E+00;1.30E-03
1.79E+02;9.74E+00;1.11E-03
1.79E+02;9.75E+00;1.96E-03
1.79E+02;9.74E+00;2.55E-03
1.78E+02;9.74E+00;9.99E-04
1.78E+02;9.74E+00;1.78E-15
1.78E+02;9.74E+00;5.07E-04
1.78E+02;9.74E+00;2.45E-03
1.78E+02;9.74E+00;1.78E-15
1.78E+02;9.74E+00;1.78E-15
1.78E+02;9.73E+00;1.78E-15
1.78E+02;9.72E+00;1.30E-03
1.78E+02;9.72E+00;5.07E-04
1.77E+02;9.70E+00;1.78E-15
1.77E+02;9.66E+00;2.55E-03
1.77E+02;9.63E+00;1.78E-15
1.77E+02;9.60E+00;1.72E-03
1.77E+02;9.55E+00;3.55E-15
1.77E+02;9.49E+00;1.78E-15
1.77E+02;9.41E+00;1.46E-03
1.77E+02;9.32E+00;1.60E-03
1.77E+02;9.22E+00;2.54E-03
1.76E+02;9.15E+00;1.78E-15
1.76E+02;9.15E+00;1.14E-03
1.76E+02;9.22E+00;1.66E-03
1.76E+02;9.30E+00;1.60E-03
1.76E+02;9.30E+00;2.54E-03
1.76E+02;9.23E+00;2.54E-03
1.76E+02;9.00E+00;2.51E-03
1.76E+02;8.60E+00;4.57E-03
1.76E+02;8.32E+00;3.17E-03
1.75E+02;8.23E+00;2.79E-03
1.75E+02;8.21E+00;2.52E-03
1.75E+02;8.18E+00;2.49E-03
1.75E+02;8.14E+00;2.52E-03
1.75E+02;8.12E+00;2.34E-03
1.75E+02;8.11E+00;2.43E-03
1.75E+02;8.06E+00;2.88E-03
1.75E+02;8.03E+00;2.97E-03
1.75E+02;8.00E+00;2.70E-03
1.74E+02;7.92E+00;3.71E-03
1.74E+02;7.83E+00;2.78E-03
1.74E+02;7.78E+00;2.77E-03
1.74E+02;7.69E+00;2.56E-03
1.74E+02;7.64E+00;2.55E-03
1.74E+02;7.62E+00;2.62E-03
1.74E+02;7.51E+00;3.03E-03
1.74E+02;7.38E+00;3.26E-03
1.74E+02;7.31E+00;3.88E-03
1.73E+02;7.22E+00;3.09E-03
1.73E+02;7.15E+00;2.62E-03
1.73E+02;7.16E+00;3.20E-03
1.73E+02;7.08E+00;3.14E-03
1.73E+02;7.00E+00;2.97E-03
1.73E+02;7.00E+00;3.06E-03
1.73E+02;6.93E+00;2.93E-03
1.73E+02;6.86E+00;3.46E-03
1.73E+02;6.87E+00;2.73E-03
1.72E+02;6.83E+00;2.92E-03
1.72E+02;6.74E+00;3.09E-03
1.72E+02;6.76E+00;2.70E-03
1.72E+02;6.69E+00;3.31E-03
1.72E+02;6.63E+00;3.13E-03
1.72E+02;6.65E+00;3.42E-03
1.72E+02;6.56E+00;3.56E-03
1.72E+02;6.51E+00;3.15E-03
1.72E+02;6.53E+00;3.33E-03
1.71E+02;6.44E+00;4.02E-03
1.71E+02;6.36E+00;2.76E-03
